Season,Rk,Club,GF/MP,GA/MP,Pts/MP
2016-2017,8,Southampton,1.078947368,1.263157895,1.21
2016-2017,9,Bournemouth,1.447368421,1.763157895,1.21
2016-2017,10,West Brom,1.131578947,1.342105263,1.18
2016-2017,11,West Ham,1.236842105,1.684210526,1.18
2016-2017,12,Leicester,1.263157895,1.657894737,1.16
2016-2017,13,Stoke,1.078947368,1.473684211,1.16
2016-2017,14,Crystal Palace,1.315789474,1.657894737,1.08
2016-2017,15,Swansea,1.184210526,1.842105263,1.08
2016-2017,16,Burnley,1.026315789,1.447368421,1.05
2016-2017,17,Watford,1.052631579,1.789473684,1.05
2016-2017,18,Hull,0.973684211,2.105263158,0.89
2016-2017,19,Middlesbrough,0.710526316,1.394736842,0.74
2016-2017,20,Sunderland,0.763157895,1.815789474,0.63
2015-2016,1,Leicester,1.789473684,0.947368421,2.13
2015-2016,2,Arsenal,1.710526316,0.947368421,1.87
2015-2016,3,Tottenham,1.815789474,0.921052632,1.84
2015-2016,4,Man City,1.868421053,1.078947368,1.74
2015-2016,5,Man United,1.289473684,0.921052632,1.74
2015-2016,6,Southampton,1.552631579,1.078947368,1.66
2015-2016,7,West Ham,1.710526316,1.342105263,1.63
2015-2016,8,Liverpool,1.657894737,1.315789474,1.58
2015-2016,9,Stoke,1.078947368,1.447368421,1.34
2015-2016,10,Chelsea,1.552631579,1.394736842,1.32
2015-2016,11,Everton,1.552631579,1.447368421,1.24
2015-2016,12,Swansea,1.105263158,1.368421053,1.24
2015-2016,13,Watford,1.052631579,1.315789474,1.18
2015-2016,14,West Brom,0.894736842,1.263157895,1.13
2015-2016,15,Crystal Palace,1.026315789,1.342105263,1.11
2015-2016,16,Bournemouth,1.184210526,1.763157895,1.11
2015-2016,17,Sunderland,1.263157895,1.631578947,1.03
2015-2016,18,Newcastle,1.157894737,1.710526316,0.97
2015-2016,19,Norwich,1.026315789,1.763157895,0.89
2015-2016,20,Aston Villa,0.710526316,2,0.45
2014-2015,1,Chelsea,1.921052632,0.842105263,2.29
2014-2015,2,Man City,2.184210526,1,2.08
2014-2015,3,Arsenal,1.868421053,0.947368421,1.97
2014-2015,4,Man United,1.631578947,0.973684211,1.84
2014-2015,5,Tottenham,1.526315789,1.394736842,1.68
2014-2015,6,Liverpool,1.368421053,1.263157895,1.63
2014-2015,7,Southampton,1.421052632,0.868421053,1.58
2014-2015,8,Swansea,1.210526316,1.289473684,1.47
2014-2015,9,Stoke,1.263157895,1.184210526,1.42
2014-2015,10,Crystal Palace,1.236842105,1.342105263,1.26
2014-2015,11,Everton,1.263157895,1.315789474,1.24
2014-2015,12,West Ham,1.157894737,1.236842105,1.24
2014-2015,13,West Brom,1,1.342105263,1.16
2014-2015,14,Leicester,1.210526316,1.447368421,1.08
2014-2015,15,Newcastle,1.052631579,1.657894737,1.03
2014-2015,16,Sunderland,0.815789474,1.394736842,1
2014-2015,17,Aston Villa,0.815789474,1.5,1
2014-2015,18,Hull,0.868421053,1.342105263,0.92
2014-2015,19,Burnley,0.736842105,1.394736842,0.87
2014-2015,20,QPR,1.105263158,1.921052632,0.79
2013-2014,1,Man City,2.684210526,0.973684211,2.26
2013-2014,2,Liverpool,2.657894737,1.315789474,2.21
2013-2014,3,Chelsea,1.868421053,0.710526316,2.16
2013-2014,4,Arsenal,1.789473684,1.078947368,2.08
2013-2014,5,Everton,1.605263158,1.026315789,1.89
2013-2014,6,Tottenham,1.447368421,1.342105263,1.82
2013-2014,7,Man United,1.684210526,1.131578947,1.68
2013-2014,8,Southampton,1.421052632,1.210526316,1.47
2013-2014,9,Stoke,1.184210526,1.368421053,1.32
2013-2014,10,Newcastle,1.131578947,1.552631579,1.29
2013-2014,11,Crystal Palace,0.868421053,1.263157895,1.18
2013-2014,12,Swansea,1.421052632,1.421052632,1.11
2013-2014,13,West Ham,1.052631579,1.342105263,1.05
2013-2014,14,Sunderland,1.078947368,1.578947368,1
2013-2014,15,Aston Villa,1.026315789,1.605263158,1
2013-2014,16,Hull,1,1.394736842,0.97
2013-2014,17,West Brom,1.131578947,1.552631579,0.95
2013-2014,18,Norwich,0.736842105,1.631578947,0.87
2013-2014,19,Fulham,1.052631579,2.236842105,0.84
2013-2014,20,Cardiff,0.842105263,1.947368421,0.79
2012-2013,1,Man United,2.263157895,1.131578947,2.34
2012-2013,2,Man City,1.736842105,0.894736842,2.05
2012-2013,3,Chelsea,1.973684211,1.026315789,1.97
2012-2013,4,Arsenal,1.894736842,0.973684211,1.92
2012-2013,5,Tottenham,1.736842105,1.210526316,1.89
2012-2013,6,Everton,1.447368421,1.052631579,1.66
2012-2013,7,Liverpool,1.868421053,1.131578947,1.61
2012-2013,8,West Brom,1.394736842,1.5,1.29
2012-2013,9,Swansea,1.236842105,1.342105263,1.21
2012-2013,10,West Ham,1.184210526,1.394736842,1.21
2012-2013,11,Norwich,1.078947368,1.526315789,1.16
2012-2013,12,Fulham,1.315789474,1.578947368,1.13
2012-2013,13,Stoke,0.894736842,1.184210526,1.11
2012-2013,14,Southampton,1.289473684,1.578947368,1.08
2012-2013,15,Aston Villa,1.236842105,1.815789474,1.08
2012-2013,16,Newcastle,1.184210526,1.789473684,1.08
2012-2013,17,Sunderland,1.078947368,1.421052632,1.03
2012-2013,18,Wigan,1.236842105,1.921052632,0.95
2012-2013,19,Reading,1.131578947,1.921052632,0.74
2012-2013,20,QPR,0.789473684,1.578947368,0.66
2011-2012,1,Man City,2.447368421,0.763157895,2.34
2011-2012,2,Man United,2.342105263,0.868421053,2.34
2011-2012,3,Arsenal,1.947368421,1.289473684,1.84
2011-2012,4,Tottenham,1.736842105,1.078947368,1.82
2011-2012,5,Newcastle,1.473684211,1.342105263,1.71
2011-2012,6,Chelsea,1.710526316,1.210526316,1.68
2011-2012,7,Everton,1.315789474,1.052631579,1.47
2011-2012,8,Liverpool,1.236842105,1.052631579,1.37
2011-2012,9,Fulham,1.263157895,1.342105263,1.37
2011-2012,10,West Brom,1.184210526,1.368421053,1.24
2011-2012,11,Swansea,1.157894737,1.342105263,1.24
2011-2012,12,Norwich,1.368421053,1.736842105,1.24
2011-2012,13,Sunderland,1.184210526,1.210526316,1.18
2011-2012,14,Stoke,0.947368421,1.394736842,1.18
2011-2012,15,Wigan,1.105263158,1.631578947,1.13
2011-2012,16,Aston Villa,0.973684211,1.394736842,1
2011-2012,17,QPR,1.131578947,1.736842105,0.97
2011-2012,18,Bolton,1.210526316,2.026315789,0.95
2011-2012,19,Blackburn,1.263157895,2.052631579,0.82
2011-2012,20,Wolves,1.052631579,2.157894737,0.66
2010-2011,1,Man United,2.052631579,0.973684211,2.11
2010-2011,2,Chelsea,1.815789474,0.868421053,1.87
2010-2011,3,Man City,1.578947368,0.868421053,1.87
2010-2011,4,Arsenal,1.894736842,1.131578947,1.79
2010-2011,5,Tottenham,1.447368421,1.210526316,1.63
2010-2011,6,Liverpool,1.552631579,1.157894737,1.53
2010-2011,7,Everton,1.342105263,1.184210526,1.42
2010-2011,8,Fulham,1.289473684,1.131578947,1.29
2010-2011,9,Aston Villa,1.263157895,1.552631579,1.26
2010-2011,10,Sunderland,1.184210526,1.473684211,1.24
2010-2011,11,West Brom,1.473684211,1.868421053,1.24
2010-2011,12,Newcastle,1.473684211,1.5,1.21
2010-2011,13,Stoke,1.210526316,1.263157895,1.21
2010-2011,14,Bolton,1.368421053,1.473684211,1.21
